,name,price,url,id,category_id
0,گوشی موبایل اپل مدل iPhone 13 CH دو سیم‌ کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت - نات اکتیو,415990000,https://www.digikala.com/product/dkp-8366616/گوشی موبایل اپل مدل iPhone 13 CH دو سیم‌ کارت ظرفیت 128 گیگابایت و رم 4 گیگابایت - نات اکتیو,8366616,11
1,گوشی موبایل اپل مدل iPhone 13 Mini ظرفیت 128 گیگابایت و رم 4 گیگابایت - نات اکتیو,399990000,https://www.digikala.com/product/dkp-6459894/گوشی موبایل اپل مدل iPhone 13 Mini ظرفیت 128 گیگابایت و رم 4 گیگابایت - نات اکتیو,6459894,11
2,هدفون بی‌ سیم هایلو مدل T15,6490000,https://www.digikala.com/product/dkp-3021400/هدفون بی‌ سیم هایلو مدل T15,3021400,211
3,هدفون بی‌ سیم اپل مدل AirPods New Generation,56800000,https://www.digikala.com/product/dkp-1572417/هدفون بی‌ سیم اپل مدل AirPods New Generation,1572417,211
4,ساعت هوشمند اپل واچ مدل Ultra 49 mm Alpine Loop,425000000,https://www.digikala.com/product/dkp-9424170/ساعت هوشمند اپل واچ مدل Ultra 49 mm Alpine Loop,9424170,5848
5,ساعت هوشمند اپل واچ مدل Ultra 49 mm Trail Loop,405890000,https://www.digikala.com/product/dkp-9766131/ساعت هوشمند اپل واچ مدل Ultra 49 mm Trail Loop,9766131,5848
